instrumentName,InstrumentToken
NETWORK18,8529
NH,15057
NHPC,9924
NIACL,12656
NLCINDIA,3285
NMDC,5543
NOCIL,1692
NTPC,4199
NUVOCO,37815
NYKAA,12983
OBEROIRLTY,10491
OFSS,3894
OIL,9947
ONGC,1703
ORIENTELEC,12029
PAGEIND,8680
PAYTM,13030
PCBL,1765
PEL,1679
PERSISTENT,10234
PETRONET,4018
PFC,8584
PFIZER,1761
PGHH,1729
PGHL,1091
PHOENIXLTD,6858
PIDILITIND,1772
PIIND,20
PNB,3886
PNBHOUSING,74064
PNCINFRA,15183
POLICYBZR,7238
POLYCAB,16855
POLYMED,6322
POLYPLEX,1774
POONAWALLA,4034
POWERGRID,9009
POWERINDIA,102783
PRAJIND,376
PRESTIGE,10504
PRINCEPIPE,73470
PRIVISCL,66986
PRSMJOHNSN,1786
PVR,7711
QUESS,75519
RADICO,3930
RAILTEL,39301
RAIN,1788
RAJESHEXPO,2841
RALLIS,1809
RAMCOCEM,1552
RATNAMANI,5181
RBA,22075
RBLBANK,64490
RCF,1829
RECLTD,9281
REDINGTON,8566
RELAXO,22
RELIANCE,1839
RENUKA,7571
RHIM,11158
RITES,84724
ROSSARI,15372
ROUTE,23994
RTNINDIA,11310
RVNL,12343
SAIL,2300
SANOFI,1307
SAPPHIRE,15225
SAREGAMA,349
SBICARD,62034
SBILIFE,95551
SBIN,1900
SCHAEFFLER,1120
SCI,632
SEQUENT,11741
SFL,12520
SHILPAMED,5837
SHREECEM,1926
SHRIRAMCIT,4277
SHYAMMETL,20336
SIEMENS,1948
SIS,13117
SJVN,10283
SKFINDIA,1957
SOBHA,8391
SOLARA,7994
SOLARINDS,7919
SONACOMS,20334
SONATSOFTW,2508
SPARC,8872
SPICEJET,31181
SRF,1987
SRTRANSFIN,1995
STAR,3205
STARHEALTH,12210
STLTECH,3592
SUDARSCHEM,2003
SUMICHEM,35325
SUNDARMFIN,2007
SUNDRMFAST,2012
SUNPHARMA,2017
SUNTECK,4809
SUNTV,7961
SUPRAJIT,4242
SUPREMEIND,2025
SUVENPHAR,20576
SUZLON,7563
SWSOLAR,37074
SYMPHONY,8053
SYNGENE,73038
TANLA,8433
TATACHEM,2045
TATACOFFEE,995
TATACOMM,402
TATACONSUM,2058
TATAELXSI,2047
TATAINVEST,254
TATAMOTORS,2071
TATAMTRDVR,9998
TATAPOWER,2053
TATASTEEL,2094
TATASTLLP,1398
TCIEXP,14901
TCNSBRANDS,92375
TCS,4106
TEAMLEASE,13902
TECHM,8197
THERMAX,2079
THYROCARE,66630
TIINDIA,12675
TIMKEN,2062
TITAN,2096
TORNTPHARM,2109
TORNTPOWER,8360
TRENT,1525
TRIDENT,3723
TRITURBINE,11012
TRIVENI,6568
TTKPRESTIG,2119
TTML,3465
TV18BRDCST,8542
TVSMOTOR,3223
UBL,6630
UCOBANK,3954
UFLEX,1138
ULTRACEMCO,4104
UNIONBANK,3898
UPL,3999
UTIAMC,19612
VAIBHAVGBL,4024
VAKRANGEE,4708
VARROC,90386
VBL,74814
VEDL,1909
VENKEYS,2202
VGUARD,9283
VIJAYA,34572
VINATIORGA,5393
VIPIND,2171
VMART,11603
VOLTAS,2178
VTL,563
WELCORP,3964
WELSPUNIND,3966
WESTLIFE,26563
WHIRLPOOL,551
WIPRO,2211
WOCKPHARMA,3257
YESBANK,7169
ZEEL,2224
ZENSARTECH,1145
ZFCVINDIA,9513
ZOMATO,25564
ZYDUSLIFE,3001
ZYDUSWELL,6093
