3149,BORORENEW-EQ,1660127388,600.00,600.00,623.00,640.20,765171
2181,BOSCHLTD-EQ,1660127024,17350.00,17165.80,17605.00,17314.50,51020
526,BPCL-EQ,1660127329,327.30,326.00,330.25,325.65,2871689
15184,BRIGADE-EQ,1660127262,520.00,518.60,527.00,519.15,293812
5066,BRITANNIA-N3,1660126327,28.33,28.33,28.50,28.34,4367
19585,BSE-EQ,1660127378,649.00,642.05,653.80,645.95,708980
6994,BSOFT-EQ,1660127230,344.90,333.75,345.35,343.60,1922983
342,CAMS-EQ,1660127106,2349.95,2296.00,2350.00,2328.85,98438
10794,CANBK-EQ,1660127285,225.00,223.10,227.30,225.05,5533664
583,CANFINHOME-EQ,1660127043,596.50,582.55,603.50,595.60,464796
595,CARBORUNIV-EQ,1660126848,844.50,810.05,844.50,840.05,352899
1250,CASTROLIND-EQ,1660126972,114.65,114.05,115.00,114.10,640550
11452,CCL-EQ,1660126786,440.00,431.90,445.00,440.75,203803
21174,CDSL-EQ,1660127109,1171.70,1153.50,1185.85,1168.95,366852
15254,CEATLTD-EQ,1660126774,1330.60,1324.20,1365.00,1330.60,144230
14894,CENTRALBK-EQ,1660127366,18.10,17.65,18.15,18.10,1752541
13305,CENTURYPLY-EQ,1660127200,616.90,597.35,617.00,611.35,204655
625,CENTURYTEX-EQ,1660127148,856.85,848.45,859.00,851.15,155119
15039,CERA-EQ,1660127284,4810.00,4709.95,4810.00,4719.50,6605
628,CESC-EQ,1660127233,80.40,79.50,81.00,80.40,890544
20329,CGCL-EQ,1660126456,700.00,700.00,718.00,702.00,46976
760,CGPOWER-EQ,1660127309,230.15,228.00,233.85,229.15,1114741
8546,CHALET-EQ,1660127331,318.55,318.00,329.00,319.65,184370
637,CHAMBLFERT-EQ,1660126990,331.85,324.55,333.50,330.00,1927781
5449,CHEMPLASTS-EQ,1660126986,475.00,448.05,475.00,470.65,193229
685,CHOLAFIN-EQ,1660127142,780.20,764.20,782.55,775.95,1077124
21740,CHOLAHLDNG-EQ,1660127054,669.90,650.10,675.00,666.10,44868
694,CIPLA-EQ,1660126669,1035.55,1029.05,1046.30,1029.55,1293683
5049,CLEAN-EQ,1660127190,1612.70,1595.00,1627.00,1609.20,68570
20374,COALINDIA-EQ,1660127394,215.85,215.45,220.45,215.40,14267910
21508,COCHINSHIP-EQ,1660127256,342.60,341.00,344.90,341.20,128924
11543,COFORGE-EQ,1660127390,3886.00,3810.00,3906.00,3886.00,182049
15141,COLPAL-EQ,1660126698,1603.80,1575.00,1624.25,1597.25,181950
4749,CONCOR-EQ,1660127114,694.00,681.50,699.90,696.40,827596
739,COROMANDEL-EQ,1660127373,1057.85,1042.90,1091.00,1049.50,784266
4421,CREDITACC-EQ,1660126909,995.00,988.95,1055.00,984.95,352776
757,CRISIL-EQ,1660127337,3235.00,3176.00,3283.70,3212.65,35657
17094,CROMPTON-EQ,1660126916,375.05,368.20,376.90,375.30,985498
14966,CSBBANK-EQ,1660126483,209.60,206.40,210.25,208.60,621824
5701,CUB-EQ,1660127304,164.80,164.00,177.95,162.80,16531585
1901,CUMMINSIND-EQ,1660127171,1196.30,1103.80,1226.95,1190.30,2244675
5748,CYIENT-EQ,1660126829,832.50,820.80,832.50,829.90,120640
772,DABUR-EQ,1660127261,588.95,580.95,591.45,586.50,1222405
8075,DALBHARAT-EQ,1660126986,1609.00,1547.65,1609.00,1603.30,136987
18086,DBL-EQ,1660127175,246.00,244.90,251.70,244.95,363647
811,DCMSHRIRAM-EQ,1660127227,1025.00,1005.00,1029.85,1025.85,48045
19943,DEEPAKNTR-EQ,1660127348,2010.20,2002.50,2035.05,2009.80,559881
15044,DELTACORP-EQ,1660127258,194.50,191.40,195.30,193.55,1859794
5373,DEVYANI-EQ,1660127278,189.95,187.50,193.50,188.65,3194814
15384,DHANI-EQ,1660127318,46.30,44.00,46.30,46.30,2534715
10940,DIVISLAB-EQ,1660126863,3942.00,3911.05,3973.90,3937.60,342277
21690,DIXON-EQ,1660127154,3794.10,3751.00,3915.20,3798.20,315042
14732,DLF-EQ,1660127391,370.10,367.90,375.25,370.30,3769700
19913,DMART-EQ,1660127272,4250.05,4219.85,4278.95,4250.05,238239
881,DRREDDY-EQ,1660126764,4243.60,4214.55,4264.00,4223.35,421623
2792,EASEMYTRIP-EQ,1660127055,413.00,402.30,417.80,414.30,808271
15179,ECLERX-EQ,1660127348,2270.00,2130.10,2275.70,2304.55,138255
15119,EDELWEISS-EQ,1660126760,56.50,55.95,56.95,56.95,568781
910,EICHERMOT-EQ,1660127338,3132.00,3117.35,3169.35,3116.75,814819
916,EIDPARRY-EQ,1660127285,563.75,553.85,574.00,558.25,689573
919,EIHOTEL-EQ,1660127216,153.85,153.55,157.00,153.05,275234
937,ELGIEQUIP-EQ,1660127345,432.90,425.55,464.20,433.20,1954070
13517,EMAMILTD-EQ,1660127374,460.00,451.10,463.60,455.10,112335
18822,ENDURANCE-EQ,1660126372,1460.10,1425.00,1463.40,1456.15,33342
4907,ENGINERSIN-EQ,1660127101,66.40,66.40,68.25,66.40,1404764
981,EPL-EQ,1660127330,167.80,164.15,167.80,166.75,98816
16852,EQUITAS-EQ,1660126453,101.00,98.00,102.00,100.90,1561565
913,EQUITASBNK-EQ,1660126868,44.20,43.55,44.90,44.05,922157
21154,ERIS-EQ,1660126418,700.00,694.55,703.25,697.25,14108
958,ESCORTS-EQ,1660127347,1649.50,1645.00,1715.45,1649.50,634597
676,EXIDEIND-EQ,1660127217,158.00,156.30,158.60,158.00,1192483
1008,FACT-EQ,1660127308,119.90,115.35,119.90,119.25,255273
4898,FDC-EQ,1660127210,277.30,268.20,277.50,277.30,201417
1023,FEDERALBNK-EQ,1660127287,109.95,109.05,110.75,109.55,8193387
1038,FINCABLES-EQ,1660127067,429.70,424.80,431.95,427.35,103091
